#,单词,音标,解释,笔记
901,"mildew","英:/'mɪldjuː/ 美:/'mɪldu/","- n. 霉,霉病
- vt. & vi. (使)发霉,(使)长霉

时 态:  
mildewed, mildewing, mildews 

形容词:  
mildewy",
902,"Milky Way","英:/ˈmɪlki:/ 美:/ˈmɪlki/","银河",
903,"millennium","英:/mɪ'lenɪəm/ 美:/məˈlɛniəm/","n. 一千年，千年期；千禧年，全人类未来的幸福时代，太平盛世
Millennium白蜜，大白圆粒(葡萄品种名)

形容词:  
millennial

名 词:  
millennialist",
904,"moan","英:/məʊn/ 美:/mon/","- vt. & vi. 呻吟；悲叹
- 抱怨
- n. 呻吟声悲叹声；（尤指风的）呼啸声
- 抱怨

时 态:  
moaned，moaning，moans",
905,"modal verb","","modal verb UK  US  noun [countable] [singular modal verb plural modal verbs] linguistics
  a verb such as ‘can’, ‘might’, ‘should’ etc that is used with another verb to express ideas such as possibility, permission, or intention
      Thesaurus: verb forms and tenseshyponym",
906,"modulation","英:/ˌmɒdjʊ'leɪʃən/ 美:/ˌmɑdʒəˈleʃən/","n. 调制",
907,"moisture","英:/'mɒɪstʃə/ 美:/'mɔɪstʃɚ/","n. 潮湿；水分；降雨量；湿度",
908,"monochrome","英:/'mɒnəkrəʊm/ 美:/'mɑnəkrom/","- n. 单色画,单色照片,黑白照片
- adj. 单色的,黑白的",
909,"monolithic","英:/mɒnə'lɪθɪk/ 美:/ˌmɑnə'lɪθɪk/","- adj. 独块巨石的
- 整体的
- 庞大的",
910,"mortality","英:/mɔː'tælɪtɪ/ 美:/mɔr'tæləti/","- n. 必死性
- 大量死亡
- 死亡率",
911,"mosquito","英:/mɒ'skiːtəʊ/ 美:/mə'skito/","n. 蚊子",
912,"moth","英:/mɒθ/ 美:/mɔθ/","n. 蛾；蛀虫",
913,"mould","英:/məʊld/ 美:/mold/","n. 模具，铸模；（人的）个性，类型；霉，霉菌；耕作土壤，腐殖土
v. （用模具）浇铸，塑造；对……施加影响；将…塑造成；紧贴于，吻合（轮廓）；使长霉
（英式）",
914,"mouldy","英:/ˈməʊldi:/ 美:/'moldi/","- n. 鱼雷
- adj. 旧式的；发霉的；腐朽的",
915,"muaythai","","",
916,"mufti","英:/'mʌftɪ/ 美:/'mʌfti/","n. 便服，便衣",
917,"mug","英:/mʌg/ 美:/mʌɡ/","- n. 圆筒形有柄大杯
- 〈口〉容易受骗的人, 傻瓜
- 〈俚〉脸
- vt. 对…行凶抢劫

时 态:  
mugged, mugging, mugs",
918,"nagging","英:/ˈnæ gɪŋ/ 美:/'næɡɪŋ/","- adj. 唠叨的；挑剔的；使人不得安宁的
- n. 唠叨；挑剔
- v. 唠叨（nag的ing形式）",
919,"nappy","英:/'næpɪ/ 美:/'næpi/","- n. 尿布
- adj. 起毛的


比较级:  
nappier, nappiest",
920,"nappy rash","","nappy rash UK  US  noun [uncountable] British
  sore, broken skin that is usually caused by wearing a wet nappy for too long
      Thesaurus: skin problems, swellings and injurieshyponym",
921,"narrator","英:/nə'reɪtə/ 美:/ˈnæreɪtər/","n. 叙述者；解说员",
922,"national anthem","","n. 国歌",
923,"nauseating","英:/ˈnɔ:zi:ˌeɪtɪŋ/ 美:/'nɔsɪetɪŋ/","adj. 令人恶心的;使人厌恶的",
924,"nephew","英:/'nefjuː/ 美:/'nɛfju/","n. 侄子；外甥",
925,"nerves","/nə:vs/","- n. 神经；神经紧张；胆量（nerve的复数）
- v. 使振作；鼓足勇气（nerve的第三人称单数）",
926,"neutral","英:/'njuːtr(ə)l/ 美:/'nʊtrəl/","- adj. 中立的，中性的；中立国的；非彩色的
- n. 中立国；中立者；非彩色；齿轮的空档


副 词:  
neutrally",
927,"Northern Hemisphere","","北半球

Northern hemispheren. 北半球",
928,"nucleus","英:/'njuːklɪəs/ 美:/'nuklɪəs/","n. 核，核心；原子核


复 数: 
nuclei",
929,"nursery rhyme","","n. 童谣；儿歌",
930,"oatmeal","英:/'əʊtmiːl/ 美:/'ot'mil/","n. 燕麦片",
931,"oats","英:/əuts/ 美:/ots/","n. 燕麦；燕麦粥；燕麦片（oat的复数）",
932,"obligation","英:/ɒblɪ'geɪʃ(ə)n/ 美:/ˌɑblɪ'ɡeʃən/","n. 义务; 责任",
933,"obsessive","英:/əb'sesɪv/ 美:/əbˈsɛsɪv/","adj. 萦绕于心的;有执著想法的

名 词:  
obsessive

副 词:  
obsessively",
934,"occasion","英:/ə'keɪʒ(ə)n/ 美:/ə'keʒn/","- n. 场合；时机，机会；理由
- vt. 引起，惹起


时 态:  
occasioned, occasioning, occasions",
935,"occasional","英:/ə'keɪʒ(ə)n(ə)l/ 美:/ə'keʒənl/","adj. 偶尔的, 不经常的",
936,"on strike","","",
937,"opium","英:/'əʊpɪəm/ 美:/'opɪəm/","- n. 鸦片；麻醉剂
- adj. 鸦片的",
938,"opponent","英:/ə'pəʊnənt/ 美:/ə'ponənt/","- n. 对手, 敌手
- 反对者

名 词:  
opponency",
939,"orangutan","英:/ɔː,ræŋuː'tæn/ 美:/ˌɔræŋ'ʊtæn/","n. 猩猩",
940,"orang-utan","/ɔ:,ræŋu:'tæn/","n. 猩猩",
941,"orchard","英:/'ɔːtʃəd/ 美:/'ɔrtʃɚd/","n. 果园；果树林",
942,"orchestra","英:/'ɔːkɪstrə/ 美:/'ɔrkɪstrə/","n. 管弦乐队

形容词:  
orchestral",
943,"orthopedics","英:/ˌɔ:θəˈpi:dɪks/ 美:/ˌɔrθə'pidɪks/","n. 整形手术；矫形术；整形外科；矫形学

形容词:  
orthopedic

名 词:  
orthopedist",
944,"ostrich","英:/'ɒstrɪtʃ/ 美:/'ɔstrɪtʃ/","n. 鸵鸟",
945,"otoscope","英:/'əʊtəskəʊp/ 美:/'otə,skop/","n. [医]耳镜",
946,"oven","英:/'ʌv(ə)n/ 美:/'ʌvn/","n. 烤箱, 炉",
947,"pajamas","英:/pə'dʒɑːməz/ 美:/pə'dʒæməz/","n. 睡衣；宽长裤",
948,"Panadol","/'pænədɔl/","扑热息痛",
949,"pandemic","英:/pæn'demɪk/ 美:/pæn'dɛmɪk/","adj. （疾病）在全国（或世界）流行的
n. （全国或全球性）流行病，瘟疫",
950,"parachute","英:/'pærəʃuːt/ 美:/'pærə'ʃʊt/","- n. 降落伞
- vt. & vi. 用降落伞降落

时 态:  
parachuted, parachuting, parachutes",
951,"parcel","英:/'pɑːs(ə)l/ 美:/'pɑrsl/","- n. 包裹
- 一块地
- vt. 给…打成包裹
- 分成若干部分

时 态:  
parceledalso parcelled 
parcelingparcelling 
parcelsparcels",
952,"parliament","英:/'pɑːləm(ə)nt/ 美:/'pɑrləmənt/","n. 议会, 国会",
953,"parsley","英:/'pɑːslɪ/ 美:/'pɑrsli/","n. 西芹,欧芹",
954,"past participle","","过去分词",
955,"Pasta","英:/'pæstə/ 美:/'pɑstə/","n. 面团；意大利面食",
956,"pathetic","英:/pə'θetɪk/ 美:/pə'θɛtɪk/","adj. 可怜的，悲哀的；感伤的；乏味的


副 词:  
pathetically",
957,"patio","英:/'pætɪəʊ/ 美:/'pætɪo/","n. 天井；露台",
958,"pebbly","英:/'peblɪ/ 美:/'pɛbli/","adj. 多卵石的,有卵石花纹的",
959,"pentagon","英:/'pentəɡ(ə)n/ 美:/'pɛntəɡɑn/","n. 五角形


形容词:  
pentagonal",
960,"pepperoni","英:/ˌpepə'rəʊnɪ/ 美:/ˌpɛpə'roni/","n. 意大利辣香肠",
961,"periodic","英:/ˌpɪərɪ'ɒdɪk/ 美:/ˌpɪrɪ'ɑdɪk/","adj. 周期的，定期的


副 词:  
periodically",
962,"periodically","英:/ˌpɪərɪ'ɒdɪkəlɪ/ 美:/pɪrɪ'ɑdɪkli/","- adv. 周期性地
- 定期地;偶尔",
963,"perk","英:/pɜːk/ 美:/pɝk/","- vi. 昂首；振作
- vt. 打扮；竖起；使振作
- n. 小费；额外收入


时 态:  
perked, perking, perks",
964,"persimmon","英:/pə'sɪmən/ 美:/pɚ'sɪmən/","n. 柿子",
965,"persuade","英:/pə'sweɪd/ 美:/pɚ'swed/","vt. & vi. 说服, 劝告

时 态:  
persuaded, persuading, persuades 

形容词:  
persuadable

名 词:  
persuader",
966,"petrol","英:/'petr(ə)l/ 美:/'pɛtrəl/","n. 汽油",
967,"petticoat","英:/'petɪkəʊt/ 美:/'pɛtɪkot/","n. 衬裙

形容词:  
petticoated",
968,"pheasant","英:/'fez(ə)nt/ 美:/'fɛznt/","- n. 雉;野鸡
- 野鸡肉",
969,"phrasal","英:/'freɪz(ə)l/ 美:/'frezl/","adj. 短语的;词组的",
970,"pickle","英:/'pɪk(ə)l/ 美:/'pɪkl/","- n. 盐卤；泡菜；腌制食品
- vt. 泡；腌制


时 态:  
pickled, pickling, pickles",
971,"pierce","英:/pɪəs/ 美:/pɪrs/","vt. & vi. 刺入；刺穿；穿透

时 态:  
pierced，piercing，pierces 

名 词:  
piercer

形容词:  
piercing

副 词:  
piercingly",
972,"pigheaded","英:/'pɪɡ'hedɪd/ 美:/'pɪg'hɛdɪd/","adj. 顽固的;固执的",
973,"pile","英:/paɪl/ 美:/paɪl/","- n. 堆；大量；建筑群
- vt. 累积；打桩于
- vi. 积累；堆积；挤


时 态:  
piled, piling, piles 

形容词:  
piled",
974,"pilot","英:/'paɪlət/ 美:/'paɪlət/","- n. 领航员；飞行员
- adj. 试点的
- v. 驾驶；领航；试用


时 态:  
piloted, piloting, pilots",
975,"pistol","英:/'pɪst(ə)l/ 美:/'pɪstl/","- n. 手枪；信号枪
- vt. 用手枪射击


时 态:  
pistoled, pistoling, pistols",
976,"piston","英:/'pɪst(ə)n/ 美:/'pɪstən/","n. 活塞",
977,"plastic surgery","","[医]整形外科


名 词:  
plastic surgeon",
978,"plural","英:/'plʊər(ə)l/ 美:/'plʊrəl/","- n. 复数, 复数形式
- adj. 复数的
- 不止一个

副 词:  
plurally",
979,"poignant","英:/'pɒɪnjənt/ 美:/'pɔɪnjənt/","- adj. 伤心至极的；辛酸的，痛切的
- 令人心碎的，深深打动人的；强烈的，深刻的",
980,"polar fleece","","",
981,"politician","英:/pɒlɪ'tɪʃ(ə)n/ 美:/ˌpɑlə'tɪʃən/","- n. 政治家
- 政客, 玩弄权术者",
982,"pollinate","英:/'pɒlɪneɪt/ 美:/'pɑlənet/","vt. 给…传授花粉

时 态:  
pollinatedalso pollenated 
pollinatingpollenating 
pollinatespollenates  

名 词:  
pollination

名 词:  
pollinator",
983,"polyester","英:/ˌpɒlɪ'estə/ 美:/ˌpɑlɪ'ɛstɚ/","n. 聚酯纤维, 涤纶

形容词:  
polyester

名 词:  
polyesterification",
984,"pony tail","","马尾辫",
985,"portal","英:/'pɔːt(ə)l/ 美:/'pɔrtl/","n. 大门，入口",
986,"portfolio","英:/pɔːt'fəʊlɪəʊ/ 美:/pɔrt'folɪo/","- n. 公事包, 文件夹
- 投资组合
- 大臣或部长的职位或职责",
987,"portrait","英:/'pɔːtrɪt/ 美:/'pɔrtrət/","- n. 肖像, 画像
- 生动的描写",
988,"Portuguese","英:/ˌpɔ:tʃəˈgi:z/ 美:/ˌpɔrtʃəˈɡiz/","- n. 葡萄牙人,葡萄牙语
- adj. 葡萄牙的,葡萄牙人的,葡语的",
989,"posing","","v. 摆姿势（pose的ing形式）",
990,"pottery","英:/'pɒt(ə)rɪ/ 美:/'pɑtəri/","n. 陶器；陶器厂；陶器制造术",
991,"practitioner","英:/præk'tɪʃ(ə)nə/ 美:/præk'tɪʃənɚ/","- n. 习艺者, 实习者
- 从业者(尤指医师)",
992,"prawn","英:/prɔːn/ 美:/prɔn/","n. 对虾, 明虾

时 态:  
prawned, prawning, prawns",
993,"precise","英:/prɪ'saɪs/ 美:/prɪ'saɪs/","adj. 精确的；明确的；严格的


名 词:  
preciseness",
994,"precision","英:/prɪ'sɪʒ(ə)n/ 美:/prɪ'sɪʒn/","n. 精确度, 准确(性)",
995,"predominate","英:/prɪ'dɒmɪneɪt/ 美:/prɪ'dɑmə'net/","- vi. 占支配地位
- vt. 在…中占优势

时 态:  
predominated, predominating, predominates 

名 词:  
predomination",
996,"preempt","英:/prɪ'empt/ 美:/ˌprimpt/","vt. 先占，取代；先取，先发制人

时 态:  
preempted，preempting，preempts 

名 词:  
preemptor",
997,"preposition","英:/ˌprepə'zɪʃ(ə)n/ 美:/ˌprɛpə'zɪʃən/","n. 介词

时 态:  
prepositioned, prepositioning, prepositions",
998,"prescribe","英:/prɪ'skraɪb/ 美:/prɪ'skraɪb/","- vt. & vi. 开药方；指示
- 规定，指定遵守

时 态:  
prescribed，prescribing，prescribes 

名 词:  
prescriber",
999,"present perfect","英:/ˈprezənt ˈpɜ:fɪkt/ 美:/ˈprɛzənt ˈpɚfɪkt/","[语]现在完成时",
1000,"Preservative","英:/prɪ'zɜːvətɪv/ 美:/prɪ'zɝvətɪv/","n. 防腐剂",
1001,"prestigious","英:/pre'stɪdʒəs/ 美:/prɛ'stɪdʒəs/","adj. 受尊敬的, 有声望的, 有威信的",
1002,"priority","英:/praɪ'ɒrɪtɪ/ 美:/praɪ'ɔrəti/","n. 优先；优先权；优先次序；优先考虑的事",
1003,"priority seats","","",
1004,"prism","英:/'prɪz(ə)m/ 美:/'prɪzəm/","n. [数]棱柱；[物]棱镜",
1005,"probate","英:/'prəʊbeɪt/ 美:/'probet/","- vt. 遗嘱认证；处以缓刑；加以监护；在遗嘱认证法庭证明…精神失常
- n. 遗嘱检验；经认证的遗嘱；遗嘱认证法院管辖范围内的一切事项
- adj. 遗嘱认证的


时 态:  
probated, probating, probates",
1006,"probe","英:/prəʊb/ 美:/prob/","- n. 探针；调查
- vi. 调查；探测
- vt. 探查；用探针探测


时 态:  
probed, probing, probes 

名 词:  
prober",
1007,"profiling","/'profaɪlɪŋ/","n. 压型",
1008,"profound","英:/prə'faʊnd/ 美:/prə'faʊnd/","- adj. 深度的；深切的；深远的
- 知识渊博的，见解深刻的，深奥的

比较级:  
profounder，profoundest 

副 词:  
profoundly",
1009,"Prometheus","/prəu'mi:θju:s/","n. 〈希神〉普罗米修斯(造福于人类的神)",
1010,"propose","英:/prə'pəʊz/ 美:/prə'poz/","vt. & vi. 提议；建议；计划；求婚

时 态:  
proposed，proposing，proposes 

名 词:  
proposer",
1011,"prose","英:/prəʊz/ 美:/proz/","- n. 散文；单调
- adj. 散文的；平凡的；乏味的
- vi. 写散文；乏味地讲话
- vt. 把…写成散文


时 态:  
prosed, prosing, proses",
1012,"punctual","英:/'pʌŋ(k)tʃʊəl/ 美:/'pʌtʃʊəl/","adj. 准时的，守时的；精确的


名 词:  
punctuality

副 词:  
punctually",
1013,"puncture","英:/'pʌŋ(k)tʃə/ 美:/'pʌŋktʃɚ/","- n. (尖物刺成的)小孔；(尤指)轮胎穿孔
- vt. 在(某物)上穿孔；刺穿(某物)
- 削弱(某人的傲气、信心等)；泄某人的气
- vi. (指轮胎等)被刺穿

时 态:  
punctured，puncturing，punctures 

形容词:  
puncturable",
1014,"pyjamas","英:/pə'dʒɑːməz/ 美:/pə'dʒæməz/","n. 睡衣；宽长裤",
1015,"quantifier","英:/'kwɒntɪfaɪə/ 美:/'kwɑntɪfaɪɚ/","n. 数量词,量词",
1016,"quarrel","英:/'kwɒr(ə)l/ 美:/'kwɔrəl/","- n. 争吵，不和，口角
- 抱怨…的原因[理由]
- vi. 争吵，争辩
- 不同意；挑剔

时 态:  
quarreled，quarrelled 
quarreling，quarrelling 
quarrels，quarrels",
1017,"quid pro quo","英:/ˏkwɪd prəu ˈkwəu/ 美:/ˈkwɪd pro ˈkwo/","（拉丁）补偿物；相等物；交换条件；让步条件",
1018,"quilt","英:/kwɪlt/ 美:/kwɪlt/","- n. 棉被；被子
- vt. 东拼西凑地编；加软衬料后缝制
- vi. 缝被子


时 态:  
quilted, quilting, quilts 

名 词:  
quilter",
1019,"quiz","英:/kwɪz/ 美:/kwɪz/","- n. 问答比赛(游戏)
- 〈尤美〉小测验

时 态:  
quizzed, quizzing, quizzes 

名 词:  
quizzer",
1020,"quorum","英:/'kwɔːrəm/ 美:/'kwɔrəm/","n. 法定人数",
1021,"quota","英:/ˈkwəutə/ 美:/'kwotə/","n. (正式限定的)定量, 定额, 配额",
1022,"racquet","英:/'rækɪt/ 美:/ˈrækɪt/","n. 球拍",
1023,"radiator","英:/'reɪdɪeɪtə/ 美:/'redɪ'etɚ/","- n. (暖气设备的)散热器
- 汽车引擎的冷却器, 散热器",
1024,"radical","英:/'rædɪk(ə)l/ 美:/'rædɪkl/","- adj. 根本的，基本的；彻底的，完全的
- 激进的，激进派的

副 词:  
radically

名 词:  
radicalness",
1025,"rage","英:/reɪdʒ/ 美:/redʒ/","- n. 愤怒；狂暴，肆虐；情绪激动
- vi. 大怒，发怒；流行，风行


时 态:  
raged, raging, rages",
1026,"rail","英:/reɪl/ 美:/rel/","- vt. 将…围起来，隔开
- vi. 责备；辱骂；抱怨
- n. 铁轨；扶手；横杆；围栏

时 态:  
railed，railing，rails 

名 词:  
railer",
1027,"rain gear","","",
1028,"ramp","英:/ræmp/ 美:/ræmp/","- n. 斜坡，坡道；敲诈
- vi. 蔓延；狂跳乱撞；敲诈
- vt. 敲诈；使有斜面


时 态:  
ramped, ramping, ramps 

名 词:  
ramp",
1029,"rash","英:/ræʃ/ 美:/ræʃ/","- n. 发疹，疹子
- adj. 太急速的；鲁莽的；轻率的

比较级:  
rasher，rashest 

副 词:  
rashly

名 词:  
rashness",
1030,"raspberry","英:/'rɑːzb(ə)rɪ/ 美:/'ræzbəri/","悬钩子属
raspberryn. 悬钩子(树), 木莓(树), 山莓(树)",
1031,"rebell","","",
1032,"rebels","/'rebəls/","- n. 反叛者（rebel的复数形式）
- v. 谋反（rebel的第三人称单数形式）",
1033,"reception desk","","接待处（等于front desk）",
1034,"recession","英:/rɪ'seʃ(ə)n/ 美:/rɪ'sɛʃən/","- n. 经济衰退; 不景气
- 后退; 撤退; 撤回",
1035,"redundant","英:/rɪ'dʌnd(ə)nt/ 美:/rɪ'dʌndənt/","- adj. 因人员过剩而被解雇的
- 不需要的; 多余的

副 词:  
redundantly",
1036,"regal","英:/'riːg(ə)l/ 美:/ˈriɡəl/","adj. 华丽的, 堂皇的
REGALabbr. Range Elevation Guidance for Approach and Landing 进场和着陆的距离仰角导航

名 词:  
regality

副 词:  
regally",
1037,"regulations","/ˌrɛgjə'leʃən/","规程;规章;守则;条例",
1038,"regulator","英:/'regjʊleɪtə/ 美:/'rɛɡjuletɚ/","n. 调节器; 校准器; 整时器",
1039,"reimburse","英:/ˌriːɪm'bɜːs/ 美:/ˌriɪm'bɝs/","vt. 偿还；付还

时 态:  
reimbursed, reimbursing, reimburses 

名 词:  
reimbursement",
1040,"relay","英:/'riːleɪ/ 美:/rɪ'lɛi/","- vi. 转播；接替
- n. [电工]继电器；接替，接替人员；驿马
- vt. 转播；使接替；分程传递


时 态:  
relayed, relaying, relays",
1041,"Renovation","/ˌrenəu'veiʃən/","n. 翻新;修复;整修",
1042,"rephrase","英:/riː'freɪz/ 美:/ˌri'frez/","vt. 改述,改撰

时 态:  
rephrased, rephrasing, rephrases",
1043,"represent","英:/reprɪ'zent/ 美:/ˌrɛprɪ'zɛnt/","- vt. 表现, 描绘
- 代表, 象征, 表示
- 作为…的代表

时 态:  
represented, representing, represents 

名 词:  
representability

形容词:  
representable",
1044,"republican","英:/rɪ'pʌblɪk(ə)n/ 美:/rɪ'pʌblɪkən/","- adj. 共和国的, 共和政体的
- n. 拥护共和政体者, 共和主义者

名 词:  
republicanism",
1045,"resent","英:/rɪ'zent/ 美:/rɪ'zɛnt/","vt. 对…感到愤怒

时 态:  
resented, resenting, resents",
1046,"resilience","英:/rɪ'zɪlɪəns/ 美:/rɪˈzɪljəns/","- n. 弹回;弹性
- 恢复力；适应力",
1047,"resiliency","英:/ri'ziliənsi/ 美:/rɪˈzɪljənsi/","n. 跳回,弹性",
1048,"resilient","英:/rɪ'zɪlɪənt/ 美:/rɪ'zɪlɪənt/","- adj. (指物体或材料)能复原的;有弹性的;有弹力的
- (指人的性格)能迅速恢复或重新振作的;达观的;适应性强的",
1049,"resistance","英:/rɪ'zɪst(ə)ns/ 美:/rɪ'zɪstəns/","- n. 抵抗, 反抗, 抵抗能力
- 阻力
- 电阻, 热阻

形容词:  
resistant",
1050,"retail","英:/'riːteɪl/ 美:/'ritel/","- vt. 零售；转述
- vi. 零售
- n. 零售
- adv. 以零售方式
- adj. 零售的


时 态:  
retailed, retailing, retails 

名 词:  
retailer",
1051,"reveal","英:/rɪ'viːl/ 美:/rɪ'vil/","- vt. 显示；露出
- 泄露；透露

时 态:  
revealed，revealing，reveals 

形容词:  
revealable

名 词:  
revealer

名 词:  
revealment",
1052,"revenue","英:/'revənjuː/ 美:/'rɛvənu/","n. 收入，收益；财政收入，税收",
1053,"rheumatic","英:/rʊ'mætɪk/ 美:/rʊ'mætɪk/","- adj. 风湿病的;风湿病引起的;(有关)风湿病治疗的
- n. 风湿病患者
- 风湿病",
1054,"rhino","英:/'raɪnəʊ/ 美:/'raɪno/","n. [俚]钱；现金；犀牛（等于rhinoceros）",
1055,"rhyme","英:/raɪm/ 美:/raɪm/","- n. 同韵词, 押韵词
- 韵, 押韵
- vt. & vi. (使)押韵, 押…韵

时 态:  
rhymedalso rimed 
rhymingriming 
rhymesrimes",
1056,"rhythmic","英:/'riðmik/ 美:/ˈrɪðmɪk/","- adj. 间歇的；合拍的；有节奏的（等于rhythmical）
- n. 韵律论（等于rhythmics）


副 词:  
rhythmically",
1057,"roam","英:/rəʊm/ 美:/rom/","- vi. 漫游，漫步；流浪
- vt. 在…流浪；在…漫步，漫游
- n. 漫步，漫游；流浪


时 态:  
roamed, roaming, roams 

名 词:  
roamer",
1058,"robe","英:/rəʊb/ 美:/rob/","- n. 礼服, 法衣
- 睡袍, 长袍
- vt. & vi. (使)穿上长袍(或浴衣等)

时 态:  
robed, robing, robes",
1059,"roller coaster","","过山车",
1060,"rough","英:/rʌf/ 美:/rʌf/","- adj. 粗糙的；不平的
- 粗鲁的；粗暴的；粗野的；剧烈的
- 粗制的；粗略的；概略的
- (味道、声音等)令人不快的；难吃的；刺耳的
- 不舒服
- vt. 过艰苦生活

比较级:  
rougher，roughest 

名 词:  
rougher

副 词:  
roughly

名 词:  
roughness",
1061,"rubble","英:/'rʌb(ə)l/ 美:/'rʌbl/","n. 碎石, 瓦砾

形容词:  
rubbly",
1062,"ruins","/'ruin/","- n. 虚墟；遗迹（ruin的复数形式）
- v. 毁灭（ruin的三单形式）",
1063,"run","英:/rʌn/ 美:/rʌn/","- vt. & vi. 跑
- 管理，经营；运行
- 移动
- (使)流动
- n. 跑，奔跑
- 旅行，旅程
- 行驶路线
- 时期；一段时间

时 态:  
ran 
run，running，runs",
1064,"runny","英:/'rʌnɪ/ 美:/'rʌni/","adj. 流鼻涕的；水分过多的


比较级:  
runnier, runniest",
1065,"runny nose","","参考翻译 [复制] [查看]
正在获取,请稍候...",
1066,"rye","英:/raɪ/ 美:/raɪ/","- n. 黑麦；吉卜赛绅士
- adj. 用黑麦制成的",
1067,"salary","英:/'sælərɪ/ 美:/'sæləri/","n. 薪水

形容词:  
salaried",
1068,"sandal","英:/'sænd(ə)l/ 美:/'sændl/","n. 凉鞋；便鞋；[植]檀香；檀香木


形容词:  
sandaled",
1069,"sanitary","英:/'sænɪt(ə)rɪ/ 美:/'sænə'tɛri/","- adj. 卫生的，清洁的
- n. 公共厕所


副 词:  
sanitarily",
1070,"sapling","英:/'sæplɪŋ/ 美:/'sæplɪŋ/","n. 幼树, 树苗",
1071,"satin","英:/'sætɪn/ 美:/'sætn/","- n. 缎,缎子
- adj. 像缎子一样光滑的
SATINabbr. Satellite Inspector System 卫星检查系统",
1072,"saucer","英:/'sɔːsə/ 美:/'sɔsɚ/","n. 茶托，浅碟；浅碟形物；[口]眼睛",
1073,"Saudi Arabia","英:/ˈsaudi əˈreibjə/ 美:/ˈsaʊdi əˈrebiə/","n. 沙特阿拉伯


形容词:  
Saudi  or",
1074,"Sauvignon Blanc","","",
1075,"savanna","英:/sə'vænə/ 美:/səˈvænə/","n. 热带的稀树大草原；热带草原",
1076,"Scald","英:/skɔːld/ 美:/skɔld/","- vt. (沸水等)烫伤(皮肤)
- 把(尤指牛奶)加热到接近沸腾
- n. (沸水或蒸汽造成的)烫伤

时 态:  
scalded, scalding, scalds",
1077,"scallop","英:/'skɒləp/ 美:/'skæləp/","- n. 扇贝，干贝
- vt. 使成扇形
- vi. 拾扇贝


时 态:  
scalloped, scalloping, scallops 

名 词:  
scalloper",
1078,"scams","/skæm/","- n. 诈骗；诡计（scam的复数形式）
- v. 欺诈；诓骗（scam的三单形式）

SCAMS扫描微波频谱仪",
1079,"Scarecrow","英:/'skeəkrəʊ/ 美:/ˈskɛrˌkro/","- n. (竖在田里吓鸟的)稻草人
- 邋遢的人;骨瘦如柴的人",
1080,"scarf","英:/skɑːf/ 美:/skɑrf/","n. 围巾; 披肩; 领巾

名 词:  
scarfer",
1081,"scenery","英:/'siːn(ə)rɪ/ 美:/ˈsinəri/","n. 风景；景色；[戏]舞台布景",
1082,"scenic","英:/'siːnɪk/ 美:/'sɛnɪk/","- adj. 舞台的；风景优美的；戏剧的
- n. 风景照片；风景胜地",
1083,"scent","英:/sent/ 美:/sɛnt/","- n. 气味，香味
- 香水
- (动物的)臭迹，遗臭
- 线索
- (尤指狗的)嗅觉
- vt. (动物等)嗅出…的气味，嗅出…的存在
- 察觉到(坏事等的)存在；觉得有，怀疑有
- 使充满香味；洒香水于

时 态:  
scented，scenting，scents 

形容词:  
scentless",
1084,"sceptical","英:/'skeptikəl/ 美:/ˈskɛptɪkəl/","adj. 不肯相信的; 常怀疑的",
1085,"scoop","英:/skuːp/ 美:/skup/","- n. 小铲；小勺
- 一勺[铲]之量
- (抢先刊载、播出的)独家新闻
- vt. 用铲[勺]等挖(洞等)
- 抢先报道
- 抢先获得，胜过

时 态:  
scooped，scooping，scoops 

名 词:  
scooper

名 词:  
scoopful",
1086,"scooter","英:/'skuːtə/ 美:/'skutɚ/","n. 小轮摩托车；速可达；单脚滑行车；小孩滑板车",
1087,"scorpion","英:/'skɔːpɪən/ 美:/'skɚpɪən/","n. 蝎子；蝎尾鞭；心黑的人

Scorpion天蝎式飞机;天蝎星座",
1088,"scrub","英:/skrʌb/ 美:/skrʌb/","- n. 矮树；洗擦；擦洗者；矮小的人（或物）
- vt. 用力擦洗；使净化
- vi. 擦洗；进行手臂消毒
- adj. 矮小的；临时凑合的；次等的


时 态:  
scrubbed, scrubbing, scrubs",
1089,"scuba diving","","戴水肺潜水",
1090,"Sean","/ʃɔ:n/","n. 肖恩（男子名）

seann. 矿脉",
1091,"seasoning","英:/'siːz(ə)nɪŋ/ 美:/'sizənɪŋ/","n. 调味品, 佐料",
1092,"select","英:/sɪ'lekt/ 美:/sə'lɛkt/","- vt. 选择；挑选
- adj. 精选的，挑选出来的
- 限制性的，选择严格的

时 态:  
selected，selecting，selects",
1093,"semantic","英:/sɪ'mæntɪk/ 美:/sɪ'mæntɪk/","adj. 语义的；语义学的（等于semantical）",
1094,"sensor","英:/'sensə/ 美:/'sɛnsɚ/","n. 传感器",
1095,"sentiment","英:/'sentɪm(ə)nt/ 美:/'sɛntɪmənt/","- n. (对怜悯、怀旧等的)柔情
- 态度或意见
- 观点; 意见",
1096,"shin","英:/ʃɪn/ 美:/ʃɪn/","- n. 胫骨
- vt. 爬；攀
- vi. 攀；快步走

Shin真宗(日本佛教的重要派别),净土真宗,信义宗

时 态:  
shinned, shinning, shins",
1097,"Shoelace","英:/'ʃuːleɪs/ 美:/ˈʃuˌles/","n. 鞋带",
