#,单词,音标,解释,笔记
1006,"probe","英:/prəʊb/ 美:/prob/","▪ I. probe 1 UK  [prəʊb] US  [proʊb] noun [countable] [singular probe plural probes] ★
    1. mainly journalism an attempt to find out the truth about an issue, problem, or accident, made by an official group or by a newspaper, television programme etc
        probe into: a full-scale government probe into allegations of police corruption
        Thesaurus: attempt to find out informationsynonym 
    2. a long thin medical instrument used for examining things inside your body
        Thesaurus: medical equipmenthyponym 
      2a. a system or piece of equipment that is used for obtaining information
        Thesaurus: machines and equipment with a specific usehyponym general words for machinery and equipmenthypernym 
    3. a space probe
        Thesaurus: space vehicles and space travelhyponym general and informal words for vehicleshyponym 
▪ II. probe 2 UK  [prəʊb] US  [proʊb] verb [present tense I/you/we/they probe he/she/it probes present participle probing past tense probed past participle probed]
    1. [intransitive/transitive] to try to find out the truth about something, especially by asking a lot of questions
        Investigators are probing the causes of the plane crash.
        probe into: You have no right to start probing into my personal life.
        probe deep/​deeply: If you probe deeper, significant differences emerge.
        Thesaurus: to ask a question or questionssynonym to try to find out informationsynonym 
    2. [transitive] to examine part of someone’s body by pressing a probe into it
        Thesaurus: to perform a medical test, treatment or operationhyponym 
      2a. to press something with your fingers or with a tool, especially in order to find something
        Thesaurus: to search for something or someonesynonym 
    3. [transitive] to examine or move through an area, especially in order to find something
        Divers probed the murky waters inch by inch.
        Thesaurus: to search for something or someonesynonym to study, check or examine somethingsynonym",
1007,"profiling","/'profaɪlɪŋ/","profiling UK  [ˈpraʊˌfaɪlɪŋ] US  [ˈproʊˌfaɪlɪŋ] noun [uncountable]
  the process of collecting and examining information about someone or something in order to get an accurate idea of what they are like
      online/​customer profiling
      Thesaurus: scientific research and relating to scientific researchhyponym",
1008,"profound","英:/prə'faʊnd/ 美:/prə'faʊnd/","profound UK  [prəˈfaʊnd] US  adjective [adjective profound comparative profounder superlative profoundest] ★★
  1. very great
      a profound change in the climate of the Earth
      The difference between the beginners and the intermediate class was profound.
      This is a scientific discovery of profound significance.
      a profound effect/​influence/​impact: My grandfather’s death had a profound effect on my father.
      Thesaurus: serious, severe and extremesynonym 
    1a. used about very strong feelings, especially negative ones
      Most of the divorced parents we interviewed said they had experienced guilt and a profound sense of failure.
      Thesaurus: general words used to describe emotionshyponym general words for moods and emotionssynonym 
  2. showing serious thought and wise ideas
      Kafka’s profound insights into human experience
      Thesaurus: words used to describe thoughts, beliefs and ideassynonym 
    2a. needing serious thought or study
      profound questions
      Thesaurus: complicated and difficult to understandsynonym 
  3. very severe
      profound deafness
      Thesaurus: serious, severe and extremesynonym bad or of a low qualitysynonym 
  4. literary deep
      Thesaurus: words used to describe depthhyponym high and heightsynonym 
      Derived Word: profoundly",
1009,"Prometheus","/prəu'mi:θju:s/","Prometheus









Prometheus
Prometheus
Pro‧me‧the‧us

 /
prəˈmiːθiəs, -θjuːs
/

 
in Greek 

mythology, one of the 

titans

 (=the first gods who ruled the universe
). He stole fire from heaven to give to human beings, and as a result he was punished by 

zeus by being kept in chains, and was finally set free by 

hercules.",
1010,"propose","英:/prə'pəʊz/ 美:/prə'poz/","propose UK  [prəˈpəʊz] US  [prəˈpoʊz] verb [present tense I/you/we/they propose he/she/it proposes present participle proposing past tense proposed past participle proposed] ★★
  1. [transitive] formal to suggest a plan, idea, or action
      Einstein proposed his theory of general relativity in 1915.
      propose doing something: I propose going to an early film and having dinner afterwards.
      propose that: She proposed that we see a marriage counsellor. 
      
      Collocations       
      Nouns frequently used with propose  1 
      ▪   change, idea, plan, reform, scheme, solution, theory
      Thesaurus: to make a suggestionsynonym 
  2. [transitive] to make a formal suggestion in a meeting for people to think about and vote on
      propose someone for/​as something: I propose Sue Wilson for treasurer.
      propose that: It was proposed that we postpone making a decision until next month.
      propose doing something: France has proposed creating a rapid-reaction force to deal with the crisis.
      Thesaurus: to make a suggestionsynonym 
  3. [intransitive/transitive] to ask someone to get married to you
      propose to: He proposed to her in August.
      propose marriage: He proposed marriage, but she refused.
      Thesaurus: engagements and weddingshyponym to get, or to be marriedsynonym 
  4. [transitive] formal if you propose to do something, you intend or plan to do it
      I propose to tell them the absolute truth.
      Thesaurus: to intend to do somethingsynonym 
      Phrase: propose a motion",
1011,"prose","英:/prəʊz/ 美:/proz/","prose UK  [prəʊz] US  [proʊz] noun [uncountable] literature ★
  written language in its ordinary form, as opposed to poetry
      She writes beautiful prose.
      in prose: He recorded his emotions in prose and verse.
      Thesaurus: types of language and general words for languagehypernym languageshyponym",
1012,"punctual","英:/'pʌŋ(k)tʃʊəl/ 美:/'pʌtʃʊəl/","punctual UK  [ˈpʌŋktʃuəl] US  adjective
  arriving or happening at the time agreed on
      Mrs Marsh liked her guests to be punctual.
      We expect punctual payment of bills.
      Thesaurus: in or on timesynonym 
      Derived Words: punctuality ▪ punctually",
1013,"puncture","英:/'pʌŋ(k)tʃə/ 美:/'pʌŋktʃɚ/","▪ I. puncture 1 UK  [ˈpʌŋktʃə(r)] US  [ˈpʌŋktʃər] noun [countable] [singular puncture plural punctures]
    1. a small hole made by accident in a tyre
        Their journey was delayed for several hours because of a puncture.
        Thesaurus: vehicle accidents and breakdownshyponym general and informal words for vehicleshyponym 
    2. a small hole made with a sharp point, for example in a person’s skin during an operation
        Thesaurus: holes and openings in surfaceshyponym to make a hole, dent or line in somethingsynonym 
▪ II. puncture 2 UK  [ˈpʌŋktʃə(r)] US  [ˈpʌŋktʃər] verb [present tense I/you/we/they puncture he/she/it punctures present participle puncturing past tense punctured past participle punctured]
    1. [transitive] to make a small hole in the surface of something such as a tyre with something sharp
        The bottom of the water tank had been punctured.
        A nail punctured our tyre.
        Thesaurus: to make a hole, dent or line in somethingsynonym holes and openings in surfaceshyponym 
      1a. [intransitive] if a tyre or ball punctures, it gets a small hole through which the air comes out
        Thesaurus: to breaksynonym 
    2. [transitive] to cause a sudden change in the way that someone feels or thinks about something
        An opening goal punctured our enthusiasm.
        Thesaurus: to have an effect on someone's emotions or attitudessynonym",
1014,"pyjamas","英:/pə'dʒɑːməz/ 美:/pə'dʒæməz/","pyjamas UK  [pəˈdʒɑːməz] US  [pəˈdʒɑməz] noun [plural] ★
  1. comfortable trousers and a shirt that you wear in bed
      a pair of pyjamas
      He was still in his pyjamas.
      Thesaurus: nightclotheshyponym 
    1a. any clothes that you wear to bed
      Thesaurus: nightclotheshyponym 

  2. a loose pair of cotton trousers that some people in Asian countries wear
      Thesaurus: trousers and shortshyponym 
      Derived Word: pyjama",
1015,"quantifier","英:/'kwɒntɪfaɪə/ 美:/'kwɑntɪfaɪɚ/","quantifier UK  [ˈkwɒntɪˌfaɪə(r)] US  [ˈkwɑntəˌfaɪər] noun [countable] [singular quantifier plural quantifiers] linguistics
  a word or phrase such as ‘much’ or ‘a few’ that is used with another word to show quantity
      Thesaurus: types and forms of word, clause or sentencehyponym",
1016,"quarrel","英:/'kwɒr(ə)l/ 美:/'kwɔrəl/","▪ I. quarrel 1 UK  [ˈkwɒrəl] US  [ˈkwɔrəl] noun [countable] [singular quarrel plural quarrels] ★
    1. an argument, especially one about something unimportant between people who know each other well
        petty quarrels
        quarrel about/​over: We had the usual family quarrel about who should take the dog out.
        quarrel with: He’s had another quarrel with Jamie.
        Thesaurus: arguments and arguingsynonym to arguehyponym 
    2. [singular] usually in negatives a reason for not being friendly or for not agreeing with someone
        We have no quarrel with the people of the United States.
        Thesaurus: arguments and arguingsynonym to arguehyponym 
▪ II. quarrel 2 UK  [ˈkwɒrəl] US  [ˈkwɔrəl] verb [intransitive] [present tense I/you/we/they quarrel he/she/it quarrels present participle quarrelling past tense quarrelled past participle quarrelled] ★
    to have an argument
        quarrel with: I hate quarrelling with you.
        quarrel about/​over: They quarrelled over the money.
        Thesaurus: to arguehyponym arguments and arguingsynonym 
        Phrasal Verb: quarrel with",
